Title,SJR,SJR Best Quartile,H index,Total Docs. (2024),Total Docs. (3years),Total Refs.,Total Cites (3years),Citable Docs. (3years),Cites / Doc. (2years),Ref. / Doc.,%Female,APC (USD),Aging,Cancer Research,Cardiology and Cardiovascular Medicine,Community and Home Care,Complementary and Alternative Medicine,Critical Care and Intensive Care Medicine,Endocrinology,"Endocrinology, Diabetes and Metabolism",Gastroenterology,Geriatrics and Gerontology,Gerontology,Health Policy,Hematology,Hepatology,Immunology,Immunology and Allergy,Immunology and Microbiology,Infectious Diseases,Internal Medicine,Medicine,Nephrology,Oncology,Parasitology,Pulmonary and Respiratory Medicine,Reproductive Medicine,Respiratory Care,Rheumatology
Innate Immunity,0.917,Q2,81,14,85,775,302,85,3.03,55.36,56.58,3180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
Medical Oncology,0.916,Q1,95,307,758,20846,2761,737,3.69,67.9,44.15,3236,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
Prehospital Emergency Care,0.916,Q1,76,227,364,7068,921,351,2.32,31.14,33.09,3239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Topics in Antiviral Medicine,0.916,Q1,47,16,45,192,111,45,2.68,12,40,3246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
CMAJ. Canadian Medical Association Journal,0.915,Q1,216,371,1608,2971,2655,842,1.6,8.01,50.93,3481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
European Journal of General Practice,0.915,Q1,43,58,130,1763,293,114,2.16,30.4,60.06,3427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Expert Review of Endocrinology and Metabolism,0.915,Q2,39,54,130,4189,384,121,2.95,77.57,44.94,3206,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Health Economics Review,0.915,Q1,41,103,161,5149,518,154,3.28,49.99,45.5,3175,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Journal of Cardiology,0.915,Q2,66,158,557,5134,1473,502,2.59,32.49,18.27,3248,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Molecular Genetics and Metabolism,0.915,Q2,129,135,387,6123,1239,363,3.17,45.36,57.01,3373,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oncology Reports,0.915,Q1,120,171,746,9589,2561,746,3.09,56.08,48.26,3268,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
Oncology Research,0.915,Q1,78,141,184,8414,601,175,4.06,59.67,41.65,3219,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
American Journal of Rhinology and Allergy,0.914,Q1,91,61,315,1733,867,295,2.56,28.41,34.77,3215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0
Cardiovascular Digital Health Journal,0.914,Q1,15,21,117,601,309,102,2.71,28.62,29.94,3133,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Geriatric Nursing,0.914,Q1,57,378,734,18055,2174,717,2.64,47.76,60.61,3120,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Translational Gastroenterology and Hepatology,0.914,Q2,33,77,148,3748,455,127,2.49,48.68,38.7,3279,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Healthcare Management Forum,0.913,Q1,27,127,205,3322,543,187,2.94,26.16,68.13,2995,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
American Journal of Infection Control,0.911,Q1,133,274,838,6694,2394,778,2.35,24.43,58.2,3330,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"BMJ Nutrition, Prevention and Health",0.911,Q1,21,55,168,2058,497,149,2.38,37.42,60.53,3248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Intensive Care Medicine Experimental,0.911,Q1,40,116,207,3930,566,185,2.85,33.88,33.25,3198,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Pain Physician,0.911,Q1,119,167,595,5788,1696,508,2.43,34.66,34.53,3303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Journal of Cancer Research and Clinical Oncology,0.91,Q1,114,448,2124,20460,6185,2068,2.8,45.67,40.7,3371,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
Pediatric Rheumatology,0.91,Q1,59,112,431,3420,1167,413,2.23,30.54,64.86,3229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
Clinica Chimica Acta,0.909,Q1,174,369,1031,21784,3624,988,3.1,59.04,46.3,3332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Joint Bone Spine,0.909,Q2,95,134,511,4026,1219,317,2.15,30.04,39.59,3252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Shock,0.909,Q1,137,273,653,11795,1970,611,2.98,43.21,36.39,3271,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Journal of Cannabis Research,0.908,Q1,22,44,144,2559,692,137,4.11,58.16,46.79,3195,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
PLOS Global Public Health,0.908,Q1,24,1066,1780,49879,4478,1735,2.48,46.79,50.32,3270,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Xenotransplantation,0.908,Q2,71,46,149,1685,434,111,2.95,36.63,31.23,3340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Journal of Orthopaedic Research,0.907,Q1,179,285,823,11655,2490,810,2.87,40.89,28.72,3265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Journal of Sexual Medicine,0.907,Q1,145,172,594,5030,1858,516,2.56,29.24,45.9,3262,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
ImmunoHorizons,0.906,Q1,24,67,263,3293,536,250,1.84,49.15,46.02,3288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0
Endocrine Connections,0.905,Q2,50,119,508,5512,1448,499,2.86,46.32,52.14,3231,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
European Journal of Pharmaceutics and Biopharmaceutics,0.905,Q1,193,322,709,19311,3592,699,4.57,59.97,47.6,3269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Addiction Research and Theory,0.904,Q1,65,83,162,4055,486,140,2.52,48.86,51.06,3212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Journal of Child and Adolescent Trauma,0.904,Q1,35,112,250,6942,739,247,2.6,61.98,70.25,3126,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Medical Principles and Practice,0.904,Q1,65,77,209,3289,768,194,1.99,42.71,39.74,3048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Pulmonary Therapy,0.904,Q2,24,32,105,1338,312,100,2.91,41.81,35.64,3104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
Clinical and Translational Oncology,0.903,Q2,65,483,788,22402,2363,771,2.96,46.38,48.42,3229,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
Epidemics,0.903,Q2,56,69,240,3643,703,234,2.7,52.8,34.64,3550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
Genetics Selection Evolution,0.903,Q1,91,77,267,4298,955,266,3.01,55.82,36.29,3379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Journal of Cancer,0.903,Q2,89,520,1298,25018,4290,1297,3.07,48.11,41.77,3305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Journal of Neuroimmunology,0.903,Q2,159,139,551,6610,1523,530,2.55,47.55,44.44,3281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Journal of Neuropsychiatry and Clinical Neurosciences,0.903,Q1,120,44,135,137,351,109,2.41,3.11,43.44,3183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Journal of Orthopaedic Trauma,0.903,Q1,150,217,751,5708,1482,695,1.91,26.3,24.21,3411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Reproductive Biomedicine and Society Online,0.903,Q1,26,0,44,0,155,40,3.33,0,0,2997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
Transgender Health,0.903,Q2,45,115,203,4258,735,201,3.18,37.03,56.27,3347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Journal of Atherosclerosis and Thrombosis,0.901,Q2,89,134,507,6425,1248,400,2.21,47.95,23.26,3412,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Neuro-Oncology Practice,0.901,Q2,34,96,213,3221,490,174,1.96,33.55,51.67,3164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
Pest Management Science,0.901,Q2,165,703,1608,38039,7158,1598,4.2,54.11,38.16,3357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Chinese Herbal Medicines,0.9,Q1,25,86,219,5710,1502,206,8.24,66.4,50.58,2948,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Current Opinion in Cardiology,0.9,Q2,88,88,270,3634,630,252,1.95,41.3,34.21,3160,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Seminars in Thoracic and Cardiovascular Surgery: Pediatric Cardiac Surgery Annual,0.9,Q1,48,16,33,290,76,30,2.26,18.13,33.33,3143,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Diabetes Spectrum,0.899,Q2,47,48,164,1668,302,144,1.81,34.75,66.67,3137,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Gastroenterology Report,0.899,Q2,48,112,256,4759,752,247,2.93,42.49,42.6,3253,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Human Vaccines and Immunotherapeutics,0.897,Q2,103,534,1905,23691,6308,1666,3.29,44.37,50.48,3327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0
Journal of Pathology Informatics,0.897,Q1,31,61,196,3408,875,190,4.57,55.87,37.01,3217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Revista de Saude Publica,0.897,Q2,93,84,354,2193,806,349,2.06,26.11,64.61,3181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
British Journal of Nutrition,0.896,Q2,230,378,1188,20079,3806,1147,2.87,53.12,56.73,3283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Diseases of the Colon and Rectum,0.896,Q2,185,366,995,7158,1803,733,1.87,19.56,39.19,3384,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Metabolic Engineering Communications,0.896,Q2,43,25,72,1822,353,72,4.78,72.88,40.6,3403,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Neurodegenerative Disease Management,0.896,Q2,36,26,106,1157,311,99,2.95,44.5,53.78,3065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ASAIO Journal,0.895,Q2,82,282,829,5856,2018,732,2.05,20.77,30.53,3292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Human Immunology,0.895,Q2,105,128,293,7979,984,282,2.29,62.34,48.44,3173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0
Annals of Geriatric Medicine and Research,0.894,Q2,26,61,145,2296,478,129,3.24,37.64,47.04,3109,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
High Blood Pressure and Cardiovascular Prevention,0.893,Q2,37,70,184,2570,512,165,3.01,36.71,44.16,3146,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"Medicine, Health Care and Philosophy",0.893,Q1,55,51,191,2797,679,177,3.82,54.84,50,3046,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trials,0.893,Q2,103,832,2750,32225,5818,2612,2,38.73,50.37,3259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Annals of Laboratory Medicine,0.892,Q2,51,94,262,2291,621,159,2.38,24.37,44.84,3252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Cardiology and Therapy,0.892,Q2,26,53,131,2248,384,124,2.54,42.42,25,3278,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
International Journal of Gynecology and Obstetrics,0.892,Q1,125,791,1556,23108,3946,1430,2.06,29.21,53.59,3281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Research in Sports Medicine,0.892,Q1,50,88,175,3287,514,175,2.62,37.35,32.42,3356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
World Journal of Microbiology and Biotechnology,0.892,Q2,126,402,826,31777,4154,822,4.77,79.05,44.67,3173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Contemporary Drug Problems,0.891,Q2,24,27,81,1893,246,79,2.78,70.11,57.14,3036,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Psychoradiology,0.891,Q1,8,28,64,1807,190,60,2.18,64.54,37.39,3324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Scandinavian Journal of Trauma, Resuscitation and Emergency Medicine",0.891,Q1,73,136,374,4118,1107,343,2.75,30.28,30.92,3304,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Human Cell,0.89,Q2,48,139,536,7854,1693,486,3.09,56.5,38.93,3228,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
International Health,0.89,Q2,48,90,324,2980,874,316,2.46,33.11,38.84,3184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
BMC Pulmonary Medicine,0.889,Q2,85,628,1395,22459,4304,1389,2.88,35.76,42.78,3303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
Obesity Research and Clinical Practice,0.889,Q2,53,69,257,2131,644,224,2.12,30.88,36.56,3252,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Therapeutic Advances in Vaccines and Immunotherapy,0.889,Q2,17,27,49,1384,178,39,3.14,51.26,50.91,3199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0
Clinical Child Psychology and Psychiatry,0.888,Q1,67,115,310,4637,832,299,2.67,40.32,64.47,3142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Dermatitis,0.888,Q1,70,238,416,4579,979,256,1.81,19.24,50.62,3295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
EJNMMI Radiopharmacy and Chemistry,0.888,Q1,32,90,110,4052,416,104,3.09,45.02,39.51,3191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Journal of the Pediatric Infectious Diseases Society,0.887,Q1,55,125,483,3751,1085,424,2.15,30.01,59.66,3428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
Sexual Medicine Reviews,0.887,Q1,49,82,172,4782,683,160,3.63,58.32,42.34,3331,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
American Journal of Drug and Alcohol Abuse,0.886,Q2,85,85,241,4567,586,226,2.45,53.73,51.18,3348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Cardio-Oncology,0.886,Q2,23,90,106,3166,350,102,3.09,35.18,43.19,3250,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
Clinical and Translational Radiation Oncology,0.886,Q1,37,180,383,6818,1055,375,2.93,37.88,41.76,3409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
Frontiers in Reproductive Health,0.886,Q1,16,125,374,6003,1060,345,2.64,48.02,53.04,3162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
Pathobiology,0.886,Q1,66,37,140,1695,429,134,2.19,45.81,40.09,3333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Perspectives in Psychiatric Care,0.886,Q2,52,10,640,607,1865,618,2.34,60.7,51.16,3089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Biosensors,0.885,Q2,85,638,2741,42377,16986,2685,6.1,66.42,40.07,3195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Frontiers in Global Women's Health,0.885,Q2,22,198,444,9472,1172,425,2.38,47.84,51.8,3325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Journal of Pediatric Gastroenterology and Nutrition,0.885,Q1,160,339,1042,9860,2324,898,2.23,29.09,54.37,3293,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advances in Kidney Disease and Health,0.884,Q1,88,63,200,4221,569,174,2.16,67,47.65,3254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Biochimie,0.884,Q2,162,224,571,17943,1931,560,3.33,80.1,49.51,3306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Hormone Research in Paediatrics,0.884,Q1,103,120,266,4389,751,250,2.88,36.58,58.85,3222,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Food Hydrocolloids for Health,0.883,Q2,21,18,157,1316,921,154,5.58,73.11,43.3,3143,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Physics in Medicine and Biology,0.883,Q1,222,654,1577,29464,5649,1568,3.45,45.05,30.81,3340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
BMJ Sexual and Reproductive Health,0.882,Q1,48,71,212,1506,454,156,1.88,21.21,79.69,3131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
Cancer Control,0.881,Q2,83,218,454,11757,1271,440,2.66,53.93,43.83,3118,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
International Journal of Hyperthermia,0.881,Q2,103,123,496,4843,1578,487,2.93,39.37,39.82,3206,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Journal of Industrial Microbiology and Biotechnology,0.881,Q2,138,50,160,2808,640,157,3.73,56.16,43.54,3199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Discover Oncology,0.88,Q2,47,844,434,44934,1343,432,2.99,53.24,40.64,3120,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Immunological Medicine,0.88,Q2,24,54,71,2172,235,71,2.78,40.22,20.26,3175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Molecular Oral Microbiology,0.88,Q2,95,45,92,2913,341,90,3.36,64.73,49.53,3299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Archives of Dermatological Research,0.879,Q1,97,745,649,14910,1509,596,2.19,20.01,52.92,3231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Climacteric,0.879,Q1,88,84,275,3692,819,246,3.02,43.95,53.5,3192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Environmental Toxicology,0.879,Q2,95,441,725,20817,3147,725,4.25,47.2,42.13,3201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
International Journal of Oral Implantology,0.879,Q2,61,28,78,1057,198,71,1.86,37.75,28.57,3341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Faraday Discussions,0.878,Q2,124,222,703,13289,2001,605,2.5,59.86,29.38,3314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Journal of Interprofessional Care,0.878,Q2,91,135,392,5798,1065,383,2.59,42.95,72.33,3248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
American Journal of Speech-Language Pathology,0.877,Q1,93,215,576,13284,1732,557,2.71,61.79,73.3,3297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Journal of Orthopaedic Surgery and Research,0.877,Q1,75,881,2248,33178,7159,2199,2.93,37.66,27.94,3185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Journal of Transport and Health,0.877,Q2,62,167,478,9880,1916,461,3.62,59.16,47.68,3281,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
American Journal of Cardiovascular Drugs,0.876,Q2,63,85,186,3941,525,179,2.8,46.36,32.91,3276,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Canadian Association of Radiologists Journal,0.876,Q1,44,169,337,4586,827,234,2.38,27.14,38.89,3126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Journal of Parenteral and Enteral Nutrition,0.876,Q2,119,120,560,4023,1609,496,2.96,33.53,55.91,3282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"BMC Sports Science, Medicine and Rehabilitation",0.875,Q1,39,248,548,12439,1714,546,3.05,50.16,35.07,3076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
British Journal of Radiology,0.875,Q1,128,232,1113,3617,3443,1064,3.17,15.59,40.76,3198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Health Information Management Journal,0.875,Q2,34,51,66,1915,219,53,3.91,37.55,56.46,3159,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Digital Health,0.874,Q2,39,759,1029,39299,3945,1017,3.78,51.78,50.08,3204,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Endocrinology, Diabetes and Metabolism",0.874,Q2,22,66,263,3022,745,257,2.74,45.79,47.14,3219,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Proceedings of the Japan Academy Series B: Physical and Biological Sciences,0.874,Q2,71,39,78,2443,325,78,4.68,62.64,17.27,3323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Injury Epidemiology,0.873,Q2,35,69,185,2817,504,180,2.12,40.83,53.2,3173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
International Journal of Medical Sciences,0.873,Q2,87,280,770,14260,2772,767,3.29,50.93,42.65,3214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Current Cardiology Reviews,0.872,Q2,63,58,185,4224,657,174,2.18,72.83,31.86,3098,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Environmental Geochemistry and Health,0.871,Q2,99,517,1151,37166,5018,1121,4.09,71.89,39.27,3253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
European Policy Analysis,0.871,Q2,25,33,81,2403,282,69,3.13,72.82,45.9,3187,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Neurophysiologie Clinique,0.871,Q2,78,54,150,2418,444,138,2.26,44.78,43.4,3206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
